zipcode,year,month,crime_rate
02122,2018,3,0.0178
02122,2018,4,0.0191
02122,2018,5,0.0257
02122,2018,6,0.0231
02122,2018,7,0.0213
02122,2018,8,0.0226
02122,2018,9,0.0193
02122,2018,10,0.0025
02124,2015,6,0.0035
02124,2015,7,0.0063
02124,2015,8,0.0065
02124,2015,9,0.0064
02124,2015,10,0.007
02124,2015,11,0.0062
02124,2015,12,0.006
02124,2016,1,0.0069
02124,2016,2,0.0056
02124,2016,3,0.006
02124,2016,4,0.0077
02124,2016,5,0.0067
02124,2016,6,0.0058
02124,2016,7,0.0063
02124,2016,8,0.0077
02124,2016,9,0.0069
02124,2016,10,0.007
02124,2016,11,0.0065
02124,2016,12,0.0059
02124,2017,1,0.0064
02124,2017,2,0.0068
02124,2017,3,0.0062
02124,2017,4,0.0064
02124,2017,5,0.0073
02124,2017,6,0.0066
02124,2017,7,0.0067
02124,2017,8,0.0078
02124,2017,9,0.0067
02124,2017,10,0.0073
02124,2017,11,0.0062
02124,2017,12,0.0061
02124,2018,1,0.0062
02124,2018,2,0.0051
02124,2018,3,0.0062
02124,2018,4,0.0074
02124,2018,5,0.0074
02124,2018,6,0.0071
02124,2018,7,0.0067
02124,2018,8,0.0063
02124,2018,9,0.0062
02124,2018,10,0.0005
02125,2015,6,0.0031
02125,2015,7,0.0064
02125,2015,8,0.0062
02125,2015,9,0.0059
02125,2015,10,0.0063
02125,2015,11,0.0057
02125,2015,12,0.0059
02125,2016,1,0.0076
02125,2016,2,0.0054
02125,2016,3,0.0059
02125,2016,4,0.0072
02125,2016,5,0.0071
02125,2016,6,0.0074
02125,2016,7,0.0065
02125,2016,8,0.0061
02125,2016,9,0.0064
02125,2016,10,0.0071
02125,2016,11,0.0059
02125,2016,12,0.0061
02125,2017,1,0.0055
02125,2017,2,0.0062
02125,2017,3,0.0058
02125,2017,4,0.0056
02125,2017,5,0.007
02125,2017,6,0.0053
02125,2017,7,0.0061
02125,2017,8,0.0071
02125,2017,9,0.007
02125,2017,10,0.0065
02125,2017,11,0.0061
02125,2017,12,0.0054
02125,2018,1,0.0051
02125,2018,2,0.0044
02125,2018,3,0.0061
02125,2018,4,0.0062
02125,2018,5,0.0069
02125,2018,6,0.0067
02125,2018,7,0.0065
02125,2018,8,0.0055
02125,2018,9,0.0062
02125,2018,10,0.0005
02126,2015,6,0.0063
02126,2015,7,0.0124
02126,2015,8,0.0119
02126,2015,9,0.0123
02126,2015,10,0.0109
02126,2015,11,0.0117
02126,2015,12,0.0122
02126,2016,1,0.0117
02126,2016,2,0.0107
02126,2016,3,0.0114
02126,2016,4,0.011
02126,2016,5,0.0146
