quarter,quarter_cnt,UCR_PART,Zip
2018Q3,348,"Part One",2118
2018Q3,112,"Part One",1125
2018Q3,111,"Part One",2135
2018Q3,52,"Part One",2210
2018Q3,93,"Part One",2215
2018Q3,15,"Part One",2026
2018Q3,231,"Part One",2130
2018Q3,134,"Part One",2124
2018Q3,191,"Part One",2109
2018Q3,88,"Part One",2111
2018Q3,6,"Part One",2151
2018Q3,213,"Part One",2126
2018Q3,116,"Part One",2117
2018Q3,31,"Part One",2222
2018Q3,176,"Part One",2116
2018Q3,210,"Part One",2122
2018Q3,169,"Part One",2199
2018Q3,156,"Part One",2115
2018Q3,33,"Part One",2445
2018Q3,236,"Part One",2119
2018Q3,59,"Part One",2129
2018Q3,78,"Part One",2150
2018Q3,121,"Part One",2134
2018Q3,284,"Part One",2121
2018Q3,65,"Part One",2114
2018Q3,39,"Part One",2284
2018Q3,126,"Part One",2131
2018Q3,45,"Part One",2113
2018Q3,81,"Part One",2120
2018Q3,49,"Part One",2108
2018Q3,40,"Part One",2132
2018Q3,9,"Part One",2152
2018Q3,9,"Part One",2171
2018Q3,15,"Part One",2141
2018Q3,10,"Part One",2107
2018Q3,163,"Part One",2125
2018Q3,36,"Part One",2128
2018Q3,61,"Part One",2136
2018Q3,23,"Part One",2186
2018Q3,20,"Part One",2203
2018Q3,40,"Part One",2137
2018Q3,9,"Part One",2205
2018Q3,13,"Part One",2435
2018Q3,1,"Part One",2145
2018Q3,2,"Part One",2446
2018Q3,1,"Part One",2133
2018Q4,2,"Part One",2201
2018Q4,5,"Part One",2130
2018Q4,4,"Part One",2199
2018Q4,10,"Part One",2119
2018Q4,2,"Part One",2186
2018Q4,6,"Part One",2127
2018Q4,2,"Part One",2114
2018Q4,8,"Part One",2118
2018Q4,8,"Part One",2121
2018Q4,2,"Part One",2109
2018Q4,10,"Part One",2126
2018Q4,2,"Part One",2150
2018Q4,8,"Part One",2110
2018Q4,2,"Part One",1210
2018Q4,2,"Part One",2284
2018Q4,4,"Part One",2125
2018Q4,2,"Part One",2210
2018Q4,1,"Part One",2203
2018Q4,3,"Part One",1125
2018Q4,5,"Part One",2116
