quarter,quarter_cnt,UCR_PART,Zip
2017Q2,167,"Non Part One",2114
2017Q2,70,"Non Part One",2141
2017Q2,102,"Non Part One",2222
2017Q2,461,"Non Part One",2150
2017Q2,95,"Non Part One",2284
2017Q2,603,"Non Part One",2125
2017Q2,191,"Non Part One",2203
2017Q2,334,"Non Part One",2132
2017Q2,477,"Non Part One",2134
2017Q2,109,"Non Part One",2445
2017Q2,55,"Non Part One",2107
2017Q2,182,"Non Part One",2128
2017Q2,161,"Non Part One",2210
2017Q2,90,"Non Part One",2152
2017Q2,130,"Non Part One",2186
2017Q2,35,"Non Part One",2151
2017Q2,222,"Non Part One",1125
2017Q2,94,"Non Part One",2201
2017Q2,24,"Non Part One",2205
2017Q2,153,"Non Part One",2108
2017Q2,70,"Non Part One",2026
2017Q2,68,"Non Part One",2171
2017Q2,5,"Non Part One",2145
2017Q2,11,"Non Part One",2446
2017Q3,57,"Non Part One",2107
2017Q3,622,"Non Part One",1210
2017Q3,735,"Non Part One",2127
2017Q3,198,"Non Part One",2199
2017Q3,264,"Non Part One",2137
2017Q3,501,"Non Part One",2120
2017Q3,135,"Non Part One",2186
2017Q3,1170,"Non Part One",2130
2017Q3,156,"Non Part One",2203
2017Q3,671,"Non Part One",2125
2017Q3,434,"Non Part One",2109
2017Q3,186,"Non Part One",2128
2017Q3,1078,"Non Part One",2124
2017Q3,56,"Non Part One",2171
2017Q3,632,"Non Part One",2135
2017Q3,753,"Non Part One",2131
2017Q3,1149,"Non Part One",2122
2017Q3,1200,"Non Part One",2119
2017Q3,1487,"Non Part One",2118
2017Q3,393,"Non Part One",2132
2017Q3,346,"Non Part One",2115
2017Q3,137,"Non Part One",2113
2017Q3,192,"Non Part One",2215
2017Q3,1551,"Non Part One",2121
2017Q3,367,"Non Part One",2129
2017Q3,1197,"Non Part One",2126
2017Q3,426,"Non Part One",2111
2017Q3,197,"Non Part One",2210
2017Q3,530,"Non Part One",2134
2017Q3,117,"Non Part One",2445
2017Q3,428,"Non Part One",2116
2017Q3,281,"Non Part One",2110
2017Q3,483,"Non Part One",2136
2017Q3,140,"Non Part One",2222
2017Q3,293,"Non Part One",1125
2017Q3,454,"Non Part One",2150
2017Q3,137,"Non Part One",2117
2017Q3,24,"Non Part One",2205
2017Q3,94,"Non Part One",2201
2017Q3,198,"Non Part One",2114
2017Q3,34,"Non Part One",2151
2017Q3,88,"Non Part One",2026
2017Q3,64,"Non Part One",2152
2017Q3,51,"Non Part One",2141
2017Q3,53,"Non Part One",2435
2017Q3,201,"Non Part One",2108
2017Q3,81,"Non Part One",2284
2017Q3,4,"Non Part One",2133
2017Q3,19,"Non Part One",2446
2017Q3,9,"Non Part One",2145
2017Q4,718,"Non Part One",2131
2017Q4,442,"Non Part One",2109
2017Q4,1023,"Non Part One",2124
2017Q4,1193,"Non Part One",2119
2017Q4,1205,"Non Part One",2118
2017Q4,427,"Non Part One",2134
2017Q4,1092,"Non Part One",2126
2017Q4,627,"Non Part One",2135
2017Q4,600,"Non Part One",2125
2017Q4,444,"Non Part One",2136
2017Q4,162,"Non Part One",2210
2017Q4,113,"Non Part One",2117
2017Q4,80,"Non Part One",2201
2017Q4,232,"Non Part One",1125
2017Q4,358,"Non Part One",2132
2017Q4,670,"Non Part One",2127
2017Q4,383,"Non Part One",2120
2017Q4,162,"Non Part One",2114
2017Q4,40,"Non Part One",2171
2017Q4,1018,"Non Part One",2122
2017Q4,1065,"Non Part One",2130
2017Q4,22,"Non Part One",2151
2017Q4,180,"Non Part One",2215
2017Q4,249,"Non Part One",2137
2017Q4,171,"Non Part One",2222
2017Q4,1422,"Non Part One",2121
2017Q4,63,"Non Part One",2435
2017Q4,421,"Non Part One",2150
2017Q4,330,"Non Part One",2111
2017Q4,261,"Non Part One",2115
2017Q4,221,"Non Part One",2199
2017Q4,63,"Non Part One",2141
2017Q4,403,"Non Part One",2116
2017Q4,546,"Non Part One",1210
2017Q4,143,"Non Part One",2113
2017Q4,90,"Non Part One",2152
2017Q4,172,"Non Part One",2108
2017Q4,274,"Non Part One",2110
2017Q4,151,"Non Part One",2203
2017Q4,85,"Non Part One",2026
2017Q4,28,"Non Part One",2205
2017Q4,338,"Non Part One",2129
2017Q4,117,"Non Part One",2186
2017Q4,4,"Non Part One",2133
2017Q4,111,"Non Part One",2445
2017Q4,154,"Non Part One",2128
2017Q4,81,"Non Part One",2284
2017Q4,49,"Non Part One",2107
2017Q4,10,"Non Part One",2446
2017Q4,2,"Non Part One",2145
2018Q1,152,"Non Part One",2203
2018Q1,139,"Non Part One",2114
2018Q1,1083,"Non Part One",2126
2018Q1,1037,"Non Part One",2130
2018Q1,210,"Non Part One",2215
2018Q1,448,"Non Part One",2120
2018Q1,1174,"Non Part One",2118
2018Q1,840,"Non Part One",2122
2018Q1,1435,"Non Part One",2121
2018Q1,408,"Non Part One",2116
2018Q1,394,"Non Part One",2109
2018Q1,531,"Non Part One",1210
2018Q1,390,"Non Part One",2134
2018Q1,1021,"Non Part One",2119
2018Q1,373,"Non Part One",2150
2018Q1,55,"Non Part One",2201
2018Q1,157,"Non Part One",2199
2018Q1,56,"Non Part One",2435
2018Q1,500,"Non Part One",2135
2018Q1,962,"Non Part One",2124
2018Q1,300,"Non Part One",2111
2018Q1,175,"Non Part One",2128
2018Q1,329,"Non Part One",2129
2018Q1,676,"Non Part One",2127
2018Q1,278,"Non Part One",2110
2018Q1,115,"Non Part One",2108
2018Q1,705,"Non Part One",2131
2018Q1,332,"Non Part One",2132
2018Q1,537,"Non Part One",2125
2018Q1,119,"Non Part One",2186
2018Q1,107,"Non Part One",2117
2018Q1,45,"Non Part One",2107
2018Q1,170,"Non Part One",2222
2018Q1,451,"Non Part One",2136
2018Q1,77,"Non Part One",2445
2018Q1,173,"Non Part One",2210
2018Q1,10,"Non Part One",2446
2018Q1,248,"Non Part One",2115
2018Q1,25,"Non Part One",2205
2018Q1,218,"Non Part One",1125
2018Q1,88,"Non Part One",2284
2018Q1,38,"Non Part One",2171
2018Q1,77,"Non Part One",2026
2018Q1,79,"Non Part One",2152
2018Q1,257,"Non Part One",2137
2018Q1,32,"Non Part One",2151
2018Q1,12,"Non Part One",2145
2018Q1,115,"Non Part One",2113
2018Q1,43,"Non Part One",2141
2018Q1,1,"Non Part One",2133
2018Q2,1334,"Non Part One",2118
2018Q2,586,"Non Part One",1210
2018Q2,169,"Non Part One",2222
2018Q2,92,"Non Part One",2284
2018Q2,774,"Non Part One",2131
2018Q2,230,"Non Part One",2215
2018Q2,403,"Non Part One",2116
2018Q2,480,"Non Part One",2136
2018Q2,678,"Non Part One",2125
2018Q2,313,"Non Part One",2111
2018Q2,1084,"Non Part One",2122
2018Q2,99,"Non Part One",2445
2018Q2,623,"Non Part One",2135
2018Q2,272,"Non Part One",1125
2018Q2,1645,"Non Part One",2121
2018Q2,1152,"Non Part One",2124
2018Q2,1208,"Non Part One",2130
2018Q2,279,"Non Part One",2137
2018Q2,703,"Non Part One",2127
2018Q2,177,"Non Part One",2210
2018Q2,53,"Non Part One",2107
2018Q2,204,"Non Part One",2199
2018Q2,1171,"Non Part One",2119
2018Q2,446,"Non Part One",2134
2018Q2,361,"Non Part One",2132
2018Q2,1227,"Non Part One",2126
2018Q2,391,"Non Part One",2115
2018Q2,401,"Non Part One",2120
2018Q2,66,"Non Part One",2026
2018Q2,157,"Non Part One",2203
2018Q2,271,"Non Part One",2110
2018Q2,191,"Non Part One",2108
2018Q2,363,"Non Part One",2150
2018Q2,432,"Non Part One",2109
2018Q2,55,"Non Part One",2435
2018Q2,145,"Non Part One",2113
2018Q2,191,"Non Part One",2114
2018Q2,71,"Non Part One",2201
2018Q2,163,"Non Part One",2128
2018Q2,126,"Non Part One",2117
2018Q2,96,"Non Part One",2186
2018Q2,36,"Non Part One",2151
2018Q2,50,"Non Part One",2141
2018Q2,24,"Non Part One",2205
2018Q2,56,"Non Part One",2171
2018Q2,349,"Non Part One",2129
2018Q2,67,"Non Part One",2152
2018Q2,10,"Non Part One",2446
2018Q2,10,"Non Part One",2145
2018Q2,3,"Non Part One",2133
2018Q3,417,"Non Part One",2134
2018Q3,110,"Non Part One",2186
2018Q3,1492,"Non Part One",2121
2018Q3,741,"Non Part One",2127
2018Q3,152,"Non Part One",2113
2018Q3,200,"Non Part One",2199
2018Q3,359,"Non Part One",2132
2018Q3,1144,"Non Part One",2130
2018Q3,185,"Non Part One",2215
2018Q3,268,"Non Part One",2110
2018Q3,403,"Non Part One",2120
2018Q3,732,"Non Part One",2131
2018Q3,48,"Non Part One",2141
2018Q3,997,"Non Part One",2122
2018Q3,103,"Non Part One",2117
2018Q3,545,"Non Part One",2135
2018Q3,1025,"Non Part One",2124
2018Q3,338,"Non Part One",2150
2018Q3,402,"Non Part One",2116
2018Q3,317,"Non Part One",2129
2018Q3,1216,"Non Part One",2126
2018Q3,1174,"Non Part One",2119
2018Q3,393,"Non Part One",2115
2018Q3,1309,"Non Part One",2118
2018Q3,341,"Non Part One",1125
2018Q3,478,"Non Part One",2136
2018Q3,118,"Non Part One",2222
2018Q3,555,"Non Part One",1210
2018Q3,321,"Non Part One",2111
2018Q3,98,"Non Part One",2026
2018Q3,8,"Non Part One",2145
2018Q3,147,"Non Part One",2128
2018Q3,616,"Non Part One",2125
2018Q3,106,"Non Part One",2284
2018Q3,259,"Non Part One",2137
2018Q3,92,"Non Part One",2201
2018Q3,56,"Non Part One",2435
2018Q3,142,"Non Part One",2445
2018Q3,57,"Non Part One",2171
2018Q3,172,"Non Part One",2114
2018Q3,52,"Non Part One",2107
2018Q3,408,"Non Part One",2109
2018Q3,215,"Non Part One",2108
2018Q3,13,"Non Part One",2446
2018Q3,183,"Non Part One",2210
2018Q3,170,"Non Part One",2203
2018Q3,32,"Non Part One",2151
2018Q3,51,"Non Part One",2152
2018Q3,23,"Non Part One",2205
2018Q3,3,"Non Part One",2133
2018Q4,22,"Non Part One",2136
2018Q4,53,"Non Part One",2121
2018Q4,12,"Non Part One",2150
2018Q4,39,"Non Part One",2122
2018Q4,15,"Non Part One",2120
2018Q4,3,"Non Part One",2199
2018Q4,15,"Non Part One",2135
2018Q4,9,"Non Part One",2137
2018Q4,27,"Non Part One",2126
2018Q4,15,"Non Part One",1210
2018Q4,14,"Non Part One",2115
2018Q4,12,"Non Part One",2127
2018Q4,34,"Non Part One",2119
2018Q4,30,"Non Part One",2130
2018Q4,5,"Non Part One",2113
2018Q4,17,"Non Part One",2125
2018Q4,19,"Non Part One",2124
2018Q4,10,"Non Part One",2116
2018Q4,43,"Non Part One",2118
2018Q4,6,"Non Part One",2109
2018Q4,3,"Non Part One",2128
2018Q4,5,"Non Part One",2117
2018Q4,2,"Non Part One",2141
2018Q4,10,"Non Part One",2111
2018Q4,7,"Non Part One",2129
2018Q4,2,"Non Part One",2205
2018Q4,3,"Non Part One",2152
2018Q4,6,"Non Part One",2108
2018Q4,4,"Non Part One",2132
2018Q4,3,"Non Part One",2210
2018Q4,9,"Non Part One",1125
2018Q4,5,"Non Part One",2284
2018Q4,17,"Non Part One",2134
2018Q4,2,"Non Part One",2171
2018Q4,5,"Non Part One",2203
2018Q4,4,"Non Part One",2222
2018Q4,8,"Non Part One",2110
2018Q4,9,"Non Part One",2131
2018Q4,5,"Non Part One",2215
2018Q4,2,"Non Part One",2445
2018Q4,1,"Non Part One",2133
2018Q4,2,"Non Part One",2114
2018Q4,1,"Non Part One",2186
2018Q4,3,"Non Part One",2151
2018Q4,1,"Non Part One",2201
