zipcode,year,UCR_PART,crime_rate
02135,2017,Other,0.0002
02135,2017,"Part One",0.0098
02135,2017,"Part Three",0.0371
02135,2017,"Part Two",0.0172
02135,2018,Other,0.0001
02135,2018,"Part One",0.0072
02135,2018,"Part Three",0.0272
02135,2018,"Part Two",0.0122
02136,2015,Other,0.0000
02136,2015,"Part One",0.0057
02136,2015,"Part Three",0.0149
02136,2015,"Part Two",0.0121
02136,2016,Other,0.0003
02136,2016,"Part One",0.0087
02136,2016,"Part Three",0.0318
02136,2016,"Part Two",0.0173
02136,2017,Other,0.0002
02136,2017,"Part One",0.0080
02136,2017,"Part Three",0.0410
02136,2017,"Part Two",0.0152
02136,2018,Other,0.0002
02136,2018,"Part One",0.0051
02136,2018,"Part Three",0.0302
02136,2018,"Part Two",0.0124
02141,2015,Other,0.0002
02141,2015,"Part One",0.0051
02141,2015,"Part Three",0.0088
02141,2015,"Part Two",0.0056
02141,2016,"Part One",0.0058
02141,2016,"Part Three",0.0159
02141,2016,"Part Two",0.0065
02141,2017,"Part One",0.0103
02141,2017,"Part Three",0.0187
02141,2017,"Part Two",0.0082
02141,2018,"Part One",0.0049
02141,2018,"Part Three",0.0127
02141,2018,"Part Two",0.0034
02145,2015,"Part One",0.0003
02145,2015,"Part Three",0.0003
02145,2015,"Part Two",0.0003
02145,2016,"Part One",0.0005
02145,2016,"Part Three",0.0010
02145,2016,"Part Two",0.0005
02145,2017,"Part One",0.0003
02145,2017,"Part Three",0.0007
02145,2017,"Part Two",0.0003
02145,2018,"Part One",0.0002
02145,2018,"Part Three",0.0010
02145,2018,"Part Two",0.0002
02150,2015,Other,0.0001
02150,2015,"Part One",0.0066
02150,2015,"Part Three",0.0126
02150,2015,"Part Two",0.0081
02150,2016,Other,0.0004
02150,2016,"Part One",0.0089
02150,2016,"Part Three",0.0242
02150,2016,"Part Two",0.0155
02150,2017,Other,0.0005
02150,2017,"Part One",0.0071
02150,2017,"Part Three",0.0280
02150,2017,"Part Two",0.0139
02150,2018,Other,0.0002
02150,2018,"Part One",0.0066
02150,2018,"Part Three",0.0176
02150,2018,"Part Two",0.0092
02151,2015,Other,0.0000
02151,2015,"Part One",0.0002
02151,2015,"Part Three",0.0014
02151,2015,"Part Two",0.0008
02151,2016,Other,0.0000
02151,2016,"Part One",0.0004
02151,2016,"Part Three",0.0026
02151,2016,"Part Two",0.0011
02151,2017,Other,0.0001
02151,2017,"Part One",0.0005
02151,2017,"Part Three",0.0018
02151,2017,"Part Two",0.0009
02151,2018,Other,0.0001
02151,2018,"Part One",0.0004
02151,2018,"Part Three",0.0019
02151,2018,"Part Two",0.0004
02152,2015,Other,0.0001
02152,2015,"Part One",0.0030
02152,2015,"Part Three",0.0071
02152,2015,"Part Two",0.0041
02152,2016,Other,0.0001
02152,2016,"Part One",0.0030
02152,2016,"Part Three",0.0116
02152,2016,"Part Two",0.0071
02152,2017,Other,0.0001
02152,2017,"Part One",0.0035
02152,2017,"Part Three",0.0142
02152,2017,"Part Two",0.0078
02152,2018,Other,0.0001
02152,2018,"Part One",0.0025
02152,2018,"Part Three",0.0086
02152,2018,"Part Two",0.0047
02171,2015,"Part One",0.0025
02171,2015,"Part Three",0.0036
02171,2015,"Part Two",0.0034
02171,2016,"Part One",0.0055
02171,2016,"Part Three",0.0070
02171,2016,"Part Two",0.0055
02171,2017,Other,0.0001
02171,2017,"Part One",0.0033
02171,2017,"Part Three",0.0085
02171,2017,"Part Two",0.0048
02171,2018,Other,0.0001
02171,2018,"Part One",0.0025
02171,2018,"Part Three",0.0059
02171,2018,"Part Two",0.0032
02186,2015,Other,0.0000
02186,2015,"Part One",0.0024
02186,2015,"Part Three",0.0048
02186,2015,"Part Two",0.0031
02186,2016,Other,0.0000
02186,2016,"Part One",0.0034
02186,2016,"Part Three",0.0102
02186,2016,"Part Two",0.0054
02186,2017,Other,0.0002
02186,2017,"Part One",0.0029
02186,2017,"Part Three",0.0114
02186,2017,"Part Two",0.0049
02186,2018,Other,0.0000
02186,2018,"Part One",0.0023
02186,2018,"Part Three",0.0080
02186,2018,"Part Two",0.0030
02199,2015,Other,0.0008
02199,2015,"Part One",0.3151
02199,2015,"Part Three",0.2143
02199,2015,"Part Two",0.1310
02199,2016,Other,0.0032
02199,2016,"Part One",0.5984
02199,2016,"Part Three",0.3833
02199,2016,"Part Two",0.2190
02199,2017,Other,0.0016
02199,2017,"Part One",0.6032
02199,2017,"Part Three",0.3913
02199,2017,"Part Two",0.2325
02199,2018,Other,0.0024
02199,2018,"Part One",0.3960
02199,2018,"Part Three",0.2611
02199,2018,"Part Two",0.1579
02205,2015,"Part One",0.0159
02205,2015,"Part Three",0.0311
02205,2015,"Part Two",0.0218
02205,2016,"Part One",0.0139
02205,2016,"Part Three",0.0370
02205,2016,"Part Two",0.0192
02205,2017,"Part One",0.0152
02205,2017,"Part Three",0.0509
02205,2017,"Part Two",0.0178
02205,2018,"Part One",0.0106
02205,2018,"Part Three",0.0337
02205,2018,"Part Two",0.0132
02210,2015,Other,0.0008
02210,2015,"Part One",0.0345
02210,2015,"Part Three",0.1117
02210,2015,"Part Two",0.0345
02210,2016,Other,0.0008
02210,2016,"Part One",0.0471
02210,2016,"Part Three",0.1910
02210,2016,"Part Two",0.0589
02210,2017,Other,0.0004
02210,2017,"Part One",0.0569
02210,2017,"Part Three",0.1930
02210,2017,"Part Two",0.0581
02210,2018,Other,0.0004
02210,2018,"Part One",0.0504
02210,2018,"Part Three",0.1406
02210,2018,"Part Two",0.0666
02215,2015,Other,0.0000
02215,2015,"Part One",0.0083
02215,2015,"Part Three",0.0090
02215,2015,"Part Two",0.0053
02215,2016,Other,0.0001
02215,2016,"Part One",0.0115
02215,2016,"Part Three",0.0207
